Date,City,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,HCHO,Temp,Wind_U,Wind_V,Fire_Count,AOD,Latitude,Longitude,PM2.5_SubIndex,NO2_column_number_density,SO2_column_number_density,CO_column_number_density,O3_column_number_density,Distance_To_Coast,Elevation
2024-02-22,Ahmedabad,49.63,85.86,15.75,60.4,70.07,5.99,4.65,1.57,24.22,0.0001491790207701,296.2839461777561,1.8555426782415816,-1.2445732502974278,2.0,0.4436348036802171,23.0225,72.5714,82.0,0.0001101026318793,-0.0003162827924826,0.035008039642085,0.1171666830778511,206.36,53.0
2024-02-23,Ahmedabad,74.17,131.59,7.84,48.02,54.72,5.99,7.61,1.88,27.82,0.0001171804630829,295.0043767293294,0.3797545026439105,-2.155249771221664,5.0,0.4436348036802171,23.0225,72.5714,146.0,0.0001990474513121,0.0008465241814655,0.035008039642085,0.1182583490936842,206.36,53.0
2024-02-24,Ahmedabad,65.22,117.45,17.11,28.55,46.45,0.83,7.22,1.86,31.89,0.0002139296059252,294.96853603688317,0.4531571883563847,-2.7157891129338463,6.0,0.4436348036802171,23.0225,72.5714,115.0,0.0001864007141418,0.0001443362085549,0.0487458303049217,0.1204152820703135,206.36,53.0
2024-02-25,Ahmedabad,66.73,117.4,17.87,26.58,45.25,1.2,8.88,1.87,31.89,0.0002458587037527,295.71657426227887,-1.9690146363058751,-2.0133956254914747,0.0,0.4436348036802171,23.0225,72.5714,121.0,0.0001890997809824,-8.571925718572975e-05,0.0405639498702566,0.1217626780271934,206.36,53.0
2024-02-26,Ahmedabad,83.55,158.22,18.58,22.69,41.54,3.88,6.2,1.72,34.56,0.0002458587037527,297.46058610428213,-2.875092499015867,-1.8611850766248477,4.0,0.4436348036802171,23.0225,72.5714,178.0,0.0001236247480847,-8.571925718572975e-05,0.0405639498702566,0.1246800348163065,206.36,53.0
2024-02-27,Ahmedabad,69.74,134.98,3.78,61.05,61.87,0.82,6.82,1.15,41.01,0.00061838666389,298.56428588453196,-0.7460703526356424,-2.011081547700157,2.0,0.4436348036802171,23.0225,72.5714,131.0,0.0001134290650952,-8.571925718572975e-05,0.0405639498702566,0.1211640238762304,206.36,53.0
2024-02-28,Ahmedabad,62.47,119.48,7.07,48.35,55.46,0.82,5.58,1.14,47.33,0.0002887891552855,298.7529789680658,-1.833500813144122,-1.7387746618699658,1.0,0.4436348036802171,23.0225,72.5714,106.0,0.0001316054258496,0.0014209619257603,0.0405639498702566,0.1170269772410781,206.36,53.0
2024-02-29,Ahmedabad,80.82,148.77,5.34,52.8,58.51,0.82,8.06,1.45,39.85,0.0001948050205722,300.1589004309602,-1.667640774749046,-0.0359241574309593,0.0,0.4436348036802171,23.0225,72.5714,169.0,0.0001992393487117,0.0005451601439786,0.0405639498702566,0.1106675982864382,206.36,53.0
2024-03-01,Ahmedabad,85.08,150.13,4.13,65.21,63.79,0.82,8.88,1.13,30.08,0.0002151135435275,300.5571783346723,2.055957143620927,0.8053490099056745,0.0,0.4436348036802171,23.0225,72.5714,183.0,0.0001226597023823,-0.0004253204239908,0.0407770238816873,0.1126096201251104,206.36,53.0
2024-03-02,Ahmedabad,51.14,91.3,0.66,66.89,64.73,0.82,5.84,0.86,22.59,0.0003009649223955,295.76078030490135,2.8764281161995817,0.616723567940468,3.0,0.4436348036802171,23.0225,72.5714,85.0,0.0001191359892299,0.0007711141827537,0.0407770238816873,0.1145117440681825,206.36,53.0
